Date,Open,High,Low,Close,Adj Close,Volume
2014-10-01,25.090000,25.750000,25.028000,25.750000,22.893518,50500
2014-11-01,26.049999,27.340000,25.250000,27.330000,24.298246,12100
2014-12-01,28.010000,29.000000,24.400000,26.163000,23.260702,8800
2015-01-01,26.163000,27.000000,24.879999,26.500000,23.560324,300300
2015-02-01,27.059999,28.110001,26.320000,28.021000,24.912590,468900
2015-03-01,28.559999,29.180000,27.040001,28.219999,25.089514,725300
2015-04-01,28.410000,29.200001,27.533001,27.900999,24.805904,1036400
2015-05-01,28.290001,28.959999,27.330000,27.389999,24.351591,448600
2015-06-01,27.530001,28.820000,26.370001,26.481001,23.543427,1077900
2015-07-01,27.190001,27.889999,25.290001,26.750000,24.015516,397900
2015-08-01,26.870001,27.590000,22.850000,24.874001,22.331287,201600
2015-09-01,24.400000,25.430000,22.770000,23.267000,20.888559,104400
2015-10-01,23.360001,25.920000,22.790001,25.641001,23.019882,125500
2015-11-01,25.959999,26.033001,24.700001,25.910000,23.261381,44100
2015-12-01,25.969999,25.969999,24.219999,24.889999,22.345650,113500
2016-01-01,24.430000,24.430000,22.030001,22.840000,20.570631,68200
2016-02-01,22.809999,22.950001,21.290001,22.139999,19.940182,52800
2016-03-01,22.690001,24.532000,22.610001,24.299999,21.885565,55700
2016-04-01,23.820000,25.260000,23.260000,24.681999,22.229614,36900
2016-05-01,24.889999,25.030001,23.389999,24.309999,21.894571,36200
2016-06-01,24.320000,24.929001,21.510000,22.916000,20.639080,149600
2016-07-01,22.940001,24.455999,21.790001,24.420000,22.110350,52200
2016-08-01,24.260000,25.490000,23.990000,24.980000,22.617382,66100
2016-09-01,25.010000,25.528999,24.219999,25.000000,22.635492,62000
2016-10-01,24.790001,25.139999,24.080000,24.709999,22.372921,44900
2016-11-01,24.709999,24.750000,23.610001,23.780001,21.530880,47000
2016-12-01,23.620001,25.379999,23.600000,25.100000,22.726036,100100
2017-01-01,25.100000,26.450001,25.007999,25.959999,23.808104,90800
2017-02-01,26.299999,26.510000,25.600000,26.090000,23.927330,70500
2017-03-01,26.370001,27.365000,26.200001,27.330000,25.064541,62100
2017-04-01,27.350000,28.316000,26.598000,28.080000,25.752375,43700
2017-05-01,28.680000,29.540001,28.230000,29.320000,26.889585,101400
2017-06-01,29.400000,30.170000,28.600000,28.665001,26.288879,156600
2017-07-01,28.740000,29.490000,28.545000,29.006001,27.104103,77000
2017-08-01,29.120001,29.500000,28.530001,29.139000,27.228384,135900
2017-09-01,29.209999,30.799000,29.205000,30.721001,28.706654,130600
2017-10-01,30.740000,31.548000,30.669001,31.495001,29.429903,132400
2017-11-01,31.500000,31.912001,30.670000,31.420000,29.359821,296100
2017-12-01,31.510000,31.940001,31.000000,31.590000,29.518675,98300
2018-01-01,31.410000,34.000000,31.327000,33.169998,30.995073,328900
2018-02-01,32.750000,33.000000,29.670000,30.559999,28.556210,249700
2018-03-01,30.379999,31.030001,29.510000,30.240000,28.257191,201200
2018-04-01,30.260000,31.620001,29.469999,30.680000,28.668343,60400
2018-05-01,30.750000,31.438999,29.410000,29.709999,27.761942,98700
2018-06-01,30.129999,30.850000,28.070999,28.709999,26.827511,115900
2018-07-01,28.320000,30.000000,28.320000,29.920000,28.289730,90000
2018-08-01,29.780001,29.780001,27.459999,28.450001,26.899830,57500
2018-09-01,28.240000,29.120001,27.500000,28.490000,26.937647,51100
2018-10-01,28.650000,28.650000,25.160000,25.799999,24.394218,46800
2018-11-01,26.030001,26.600000,25.110001,25.540001,24.148388,47800
2018-12-01,26.090000,26.090000,23.410000,23.620001,22.333004,123300
2019-01-01,23.521999,25.230000,23.209999,25.100000,24.178261,65200
2019-02-01,25.100000,25.792000,24.190001,25.000000,24.081930,45900
2019-03-01,25.941000,26.250000,25.039000,25.389999,24.457609,85700
2019-04-01,25.709999,27.143000,25.645000,27.125999,26.129858,187600
2019-05-01,27.230000,27.230000,25.374001,27.190001,26.191511,59000
2019-06-01,25.660000,27.260000,25.650000,26.500000,25.526846,56800
2019-07-01,27.049999,27.202999,25.270000,25.270000,24.979294,61100
2019-08-01,25.400000,25.690001,24.047001,25.219999,24.929869,57600
2019-09-01,24.889999,26.280001,24.750000,25.610001,25.315384,44700
2019-10-01,25.669001,27.459999,24.680000,27.350000,27.035366,38300
2019-11-01,27.469999,28.025999,27.440001,27.700001,27.381340,57000
2019-12-01,27.520000,28.500000,27.230000,28.103001,27.779705,230800
2020-01-01,28.538000,28.663000,27.100000,27.100000,26.791100,98900
2020-02-01,27.230000,28.559999,24.473000,24.950001,24.665607,77800
2020-03-01,25.090000,25.750000,17.000000,20.594999,20.360247,468600
2020-04-01,19.770000,23.180000,19.400000,22.730000,22.470911,535300
2020-05-01,22.240000,24.959999,20.736000,24.627001,24.346289,180400
2020-06-01,24.860001,27.799999,24.834999,26.084000,25.786680,435500
2020-07-01,25.969999,28.600000,25.900000,27.995001,27.995001,688100
